age,n_eye,N_DUSUAL_1,N_DUSUAL_2,N_VA,N_WAT_C,N_CA,N_CHO,N_PROT,N_FAT,HE_HP,HE_BMI,smoke
10대 중반,166,330,384,745.4739999999999,6.454000000000001,507.41,333.384,76.812,55.67,0,20.886000000000003,0
10대 초반,107,279,223,683.198,6.719999999999999,519.658,315.45199999999994,70.076,49.102,0,19.108,0
10대 후반,119,220,228,705.844,8.586000000000002,463.672,314.806,75.61,56.426,10,21.716,84
10세 미만,117,401,811,536.164,6.144,477.1060000000001,228.274,49.592,34.856,0,,0
20대 중반,87,334,196,788.108,6.960000000000001,488.122,296.64199999999994,77.57000000000001,54.448,70,22.246,512
20대 초반,69,185,146,703.2819999999999,8.174000000000001,447.70200000000006,284.112,72.46400000000003,54.01400000000001,26,21.968,253
20대 후반,58,294,164,846.952,8.15,516.522,307.16600000000005,78.75399999999999,52.566,87,22.974,470
30대 중반,71,490,261,904.298,6.776000000000001,536.454,319.954,78.096,48.728,229,23.262,900
30대 초반,63,308,187,888.3799999999999,6.0840000000000005,521.158,313.278,78.46400000000003,51.056,116,23.158,547
30대 후반,62,399,203,906.856,6.664,514.32,314.67600000000004,75.204,45.794,248,23.348,739
40대 중반,80,410,205,950.952,6.17,528.8900000000001,321.2400000000001,73.704,41.476,496,23.94,726
40대 초반,67,392,171,946.298,6.292,541.1899999999999,325.04200000000003,76.67999999999999,44.944,331,23.842,661
40대 후반,73,292,144,930.49,6.606,540.164,321.166,72.962,38.86,454,23.92,552
50대 중반,90,346,187,900.0459999999999,8.316,525.3520000000001,326.044,68.408,33.214,862,24.214,634
50대 초반,74,267,162,911.904,5.604,529.7819999999999,323.43,69.53,35.266000000000005,598,24.03,568
50대 후반,42,212,120,889.3460000000002,6.502,523.426,330.706,68.428,32.632,687,24.37,424
60대 중반,134,211,126,790.1099999999999,6.416,481.652,325.21200000000005,62.67,28.574,1136,24.222,509
60대 초반,92,187,97,845.2220000000001,5.572,509.122,328.884,65.67399999999999,31.2,797,24.332,447
60대 후반,147,128,103,700.7040000000001,5.824000000000001,433.228,312.534,56.958000000000006,24.668,954,24.158,398
70대 중반,221,94,117,568.418,4.838,387.5,289.63800000000003,49.708,20.27,1039,23.606,408
70대 초반,167,96,91,634.028,5.126,432.482,305.718,54.392,22.258000000000003,904,23.96,373
70대 후반,131,39,50,518.142,6.1,362.756,275.834,47.63000000000001,19.21,537,23.297999999999995,201
80세 이상,240,30,70,454.144,4.352,333.35,253.704,42.612,16.689999999999998,621,22.606,216
