product_name,serving_size,calorie_kJ,calorie_kcal,carbohydrate,sugar,protein,fat,fat_2,fat_3,fat_4,fat_5,dietary_fiber,potassium,cholesterol,salt
맥심 티오피 더블랙,1캔 (275 ml),29 kJ,7 kcal,1.00g,0.00g,0.40g,0.10g,0.000g,0.000g,null,null,null,null,0mg,35mg
바리스타룰스에스프레소라떼,1컵 (250 g),678 kJ,162 kcal,22.00g,20.00g,5.00g,6.00g,3.400g,0.000g,null,null,null,null,20mg,120mg
카프리썬 오렌지,1봉지 (200 ml),251 kJ,60 kcal,15.00g,15.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,0mg
칠성사이다,1캔 (355ml),649 kJ,155 kcal,39.00g,38.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,10mg
칠성사이다 제로,1병 (500 ml),0 kJ,0 kcal,8.00g,0.00g,0.00g,0.00g,0.000g,0.000g,null,null,0.0g,0mg,0mg,12mg
코카콜라 355ml,1캔 (355 ml),636 kJ,152 kcal,38.00g,38.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,11mg
코카콜라제로 250ml,1회 (250 ml),0 kJ,0 kcal,0.00g,0.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,19mg
콘트라베이스 스위트 블랙,1인분 (500 ml),335 kJ,80 kcal,19.00g,19.00g,1.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,123mg
환타 오렌지 355ml,1인분 (355 ml),653 kJ,156 kcal,39.00g,39.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,11mg
게토레이 레몬 600ml,1회 (600 ml),669 kJ,160 kcal,40.00g,39.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,300mg
크래프트 블랙,1병 (470 ml),59 kJ,14 kcal,2.40g,0.00g,1.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,82mg
하늘보리 500ml,1병 (500 ml),247 kJ,59 kcal,14.00g,0.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,0mg
광동 헛개차 500ml,1병 (500ml),0 kJ,0 kcal,0.00g,0.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,50mg
허니유자 ,1회 (280 ml),586 kJ,140 kcal,35.00g,34.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,145mg
핫식스,1캔 (250 ml),481 kJ,115 kcal,29.00g,29.00g,0.00g,0.00g,0.000g,0.000g,null,0.000g,null,null,0mg,75mg
레쓰비 150ml,1캔 (150 ml),188 kJ,45 kcal,10.00g,10.00g,1.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,75mg
레쓰비 그란데 헤이즐넛,1인분 (500 ml),502 kJ,120 kcal,29.00g,30.00g,1.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,105mg
미닛메이드 오리지널 오렌지,1병 (350ml),552 kJ,132 kcal,31.00g,26.00g,2.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,95mg
나랑드 사이다 제로 245ml,1인분 (245 ml),0 kJ,0 kcal,0.00g,0.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,45mg
광동 옥수수 수염차 500ml,1병 (500 ml),0 kJ,0 kcal,0.00g,0.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,50mg
제로콜라 펩시,1인분 (355 ml),0 kJ,0 kcal,0.00g,0.00g,0.00g,0.00g,0.000g,0.000g,0.000g,0.000g,0.0g,0mg,0mg,95mg
피크닉 사과,1회 (200 ml),293 kJ,70 kcal,17.00g,16.00g,1.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,60mg
포카리스웨트 500ml,1병 (500 ml),523 kJ,125 kcal,31.00g,30.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,250mg
파워오투 오렌지,1인분 (500 ml),372 kJ,89 kcal,21.00g,21.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,6mg
파워에이드 마운틴블라스트 600ml,1페트 (355 ml),151 kJ,36 kcal,9.00g,9.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,188mg
스프라이트 355ml,1캔 (355 ml),669 kJ,160 kcal,40.00g,40.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,33mg
스프라이트 제로,1캔 (500 ml),0 kJ,0 kcal,0.20g,0.00g,0.00g,0.00g,0.000g,0.000g,0.000g,0.000g,0.0g,0mg,0mg,3mg
스타벅스 컵커피 카페라떼,1개 (270 ml),900 kJ,215 kcal,23.00g,20.00g,6.10g,10.80g,0.500g,5.700g,null,null,null,null,33mg,154mg
토레타,1병 (500 ml),347 kJ,83 kcal,20.00g,20.00g,0.80g,0.00g,0.000g,0.000g,null,null,null,null,0mg,291mg
웰치스 그레이프맛,1캔 (355 ml),803 kJ,192 kcal,48.00g,46.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,0mg
