id,class,product_name,serving_size,calorie_kJ,calorie_kcal,carbohydrate,sugar,protein,fat,fat_2,fat_3,fat_4,fat_5,dietary_fiber,potassium,cholesterol,salt,voice_1,voice_2
0,TOP_black,맥심 티오피 더블랙,1캔 (275 ml),29 kJ,7 kcal,1.00g,0.00g,0.40g,0.10g,0.000g,0.000g,null,null,null,null,0mg,35mg,1캔 275 ml안에7 kcal가 있습니다.,설탕당은 0.00g 지방은 0.10g 나트륨은 35mg 이 포함되어있습니다.
1,baristarules_espressolatte,바리스타룰스에스프레소라떼,1컵 (250 g),678 kJ,162 kcal,22.00g,20.00g,5.00g,6.00g,3.400g,0.000g,null,null,null,null,20mg,120mg,1컵 250 g안에162 kcal가 있습니다.,설탕당은 20.00g 지방은 6.00g 나트륨은 120mg 이 포함되어있습니다.
2,cafrisun,카프리썬 오렌지,1봉지 (200 ml),251 kJ,60 kcal,15.00g,15.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,0mg,1봉지 200 ml안에60 kcal가 있습니다.,설탕당은 15.00g 지방은 0.00g 나트륨은 0mg 이 포함되어있습니다.
3,chilsungcider,칠성사이다,1캔 (355ml),649 kJ,155 kcal,39.00g,38.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,10mg,1캔 355ml안에155 kcal가 있습니다.,설탕당은 38.00g 지방은 0.00g 나트륨은 10mg 이 포함되어있습니다.
4,chilsungcider_zero,칠성사이다 제로,1병 (500 ml),0 kJ,0 kcal,8.00g,0.00g,0.00g,0.00g,0.000g,0.000g,null,null,0.0g,0mg,0mg,12mg,1병 500 ml안에0 kcal가 있습니다.,설탕당은 0.00g 지방은 0.00g 나트륨은 12mg 이 포함되어있습니다.
5,cocacola,코카콜라 355ml,1캔 (355 ml),636 kJ,152 kcal,38.00g,38.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,11mg,1캔 355 ml안에152 kcal가 있습니다.,설탕당은 38.00g 지방은 0.00g 나트륨은 11mg 이 포함되어있습니다.
6,cocacola_zero,코카콜라제로 250ml,1회 (250 ml),0 kJ,0 kcal,0.00g,0.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,19mg,1회 250 ml안에0 kcal가 있습니다.,설탕당은 0.00g 지방은 0.00g 나트륨은 19mg 이 포함되어있습니다.
7,contrabass_sweetblack,콘트라베이스 스위트 블랙,1인분 (500 ml),335 kJ,80 kcal,19.00g,19.00g,1.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,123mg,1인분 500 ml안에80 kcal가 있습니다.,설탕당은 19.00g 지방은 0.00g 나트륨은 123mg 이 포함되어있습니다.
8,fanta_orange,환타 오렌지 355ml,1인분 (355 ml),653 kJ,156 kcal,39.00g,39.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,11mg,1인분 355 ml안에156 kcal가 있습니다.,설탕당은 39.00g 지방은 0.00g 나트륨은 11mg 이 포함되어있습니다.
9,gatorade_lemon,게토레이 레몬 600ml,1회 (600 ml),669 kJ,160 kcal,40.00g,39.00g,0.00g,0.00g,0.000g,0.000g,null,null,null,null,0mg,300mg,1회 600 ml안에160 kcal가 있습니다.,설탕당은 39.00g 지방은 0.00g 나트륨은 300mg 이 포함되어있습니다.
